,jurisdiction,case_id,hash_name,entry_date,resolution,total_decisions
10954,ncmd,1-16-cv-00319-LCB-JEP,b'5367b2201342953bb042be22',05/02/2016,1,74
10955,ncmd,1-16-cv-00504-TDS-JLW,b'90740c179c87bc6590f4130b',05/26/2016,1,55
10956,ncmd,1-16-cv-01266-LCB-JLW,b'5367b2201342953bb042be22',11/03/2016,0,74
10957,ncmd,1-16-cv-01323-LCB-LPA,b'5367b2201342953bb042be22',12/15/2016,1,74
10958,ncmd,1-16-cv-00888-WO-LPA,b'c4be5d332ba195269e89b2c3',08/02/2016,1,31
10959,ncmd,1-16-cv-00017-NCT-LPA,b'193098a87e3cb06c3d37c7d6',01/28/2016,1,12
10960,ncmd,1-16-cv-00362-TDS-LPA,b'90740c179c87bc6590f4130b',05/10/2016,1,55
10961,ncmd,1-16-cv-01197-WO-LPA,b'c4be5d332ba195269e89b2c3',10/04/2016,1,31
10962,ncmd,1-16-cv-01300-TDS-JEP,b'90740c179c87bc6590f4130b',03/14/2017,1,55
10963,ncmd,1-16-cv-01211-TDS-JLW,b'90740c179c87bc6590f4130b',10/11/2016,1,55
10964,ncmd,1-16-cv-01448-CCE-JLW,b'5b5c461201c4b5d552ec4f8f',01/03/2017,1,52
10965,ncmd,1-16-cv-01350-WO-LPA,b'c4be5d332ba195269e89b2c3',11/29/2016,1,31
10966,ncmd,1-16-cv-01181-TDS-JLW,b'90740c179c87bc6590f4130b',09/28/2016,1,55
10967,ncmd,1-16-cv-00405-WO-JLW,b'c4be5d332ba195269e89b2c3',04/27/2017,1,31
10968,ncmd,1-16-cv-00305-CCE-JLW,b'5b5c461201c4b5d552ec4f8f',04/14/2016,1,52
10969,ncmd,1-16-cv-00618-CCE-JEP,b'5b5c461201c4b5d552ec4f8f',10/20/2016,-1,52
10970,ncmd,1-16-cv-00731-TDS-LPA,b'90740c179c87bc6590f4130b',06/28/2016,1,55
10971,ncmd,1-16-cv-01193-TDS-JLW,b'90740c179c87bc6590f4130b',10/04/2016,1,55
10972,ncmd,1-16-cv-00437-WO-JLW,b'c4be5d332ba195269e89b2c3',08/04/2016,0,31
10973,ncmd,1-16-cv-01153-CCE-LPA,b'5b5c461201c4b5d552ec4f8f',09/23/2016,1,52
10974,ncmd,1-16-cv-00609-LCB-JLW,b'5367b2201342953bb042be22',06/21/2016,1,74
10975,ncmd,1-16-cv-00069-LCB-JEP,b'5367b2201342953bb042be22',04/27/2016,1,74
10976,ncmd,1-16-cv-00161-TDS-JLW,b'90740c179c87bc6590f4130b',03/24/2016,1,55
10977,ncmd,1-16-cv-00365-LCB-JEP,b'5367b2201342953bb042be22',10/31/2016,1,74
10978,ncmd,1-16-cv-00159-CCE-LPA,b'5b5c461201c4b5d552ec4f8f',03/08/2016,1,52
10979,ncmd,1-16-cv-00193-CCE-JLW,b'5b5c461201c4b5d552ec4f8f',03/14/2016,1,52
10980,ncmd,1-16-cv-01072-WO-LPA,b'c4be5d332ba195269e89b2c3',08/25/2016,1,31
10981,ncmd,1-16-cv-00094-NCT-LPA,b'193098a87e3cb06c3d37c7d6',02/11/2016,1,12
10982,ncmd,1-16-cv-00729-LCB-JEP,b'5367b2201342953bb042be22',10/24/2016,1,74
10983,ncmd,1-16-cv-01449-LCB-JLW,b'5367b2201342953bb042be22',01/03/2017,1,74
10984,ncmd,1-16-cv-00588-LCB-LPA,b'5367b2201342953bb042be22',06/14/2016,1,74
10985,ncmd,1-16-cv-01214-TDS-JEP,b'90740c179c87bc6590f4130b',02/01/2017,-1,55
10986,ncmd,1-16-cv-00519-WO-JEP,b'c4be5d332ba195269e89b2c3',10/20/2016,0,31
10987,ncmd,1-16-cv-01269-LCB-JEP,b'855080b2fcfa889331d707c3',11/25/2016,1,1
10988,ncmd,1-16-cv-01129-TDS-JEP,b'90740c179c87bc6590f4130b',06/28/2017,1,55
10989,ncmd,1-16-cv-00409-WO-JLW,b'c4be5d332ba195269e89b2c3',05/12/2016,1,31
10990,ncmd,1-16-cv-01378-CCE-JLW,b'5b5c461201c4b5d552ec4f8f',12/14/2016,1,52
10991,ncmd,1-16-cv-00074-TDS-JLW,b'90740c179c87bc6590f4130b',02/02/2016,1,55
10992,ncmd,1-16-cv-00225-LCB-JEP,b'5367b2201342953bb042be22',07/14/2016,1,74
10993,ncmd,1-16-cv-00300-LCB-JEP,b'5367b2201342953bb042be22',04/29/2016,1,74
10994,ncmd,1-16-cv-00258-TDS-JEP,b'90740c179c87bc6590f4130b',09/19/2016,1,55
10995,ncmd,1-16-cv-00181-LCB-JLW,b'5367b2201342953bb042be22',03/10/2016,0,74
10996,ncmd,1-16-cv-00528-TDS-LPA,b'90740c179c87bc6590f4130b',06/06/2016,1,55
10997,ncmd,1-16-cv-00513-LCB-JEP,b'5367b2201342953bb042be22',09/21/2016,1,74
10998,ncmd,1-16-cv-01306-TDS-JEP,b'90740c179c87bc6590f4130b',12/19/2016,1,55
10999,ncmd,1-16-cv-00251-LCB-JLW,b'5367b2201342953bb042be22',04/07/2016,1,74
11000,ncmd,1-16-cv-01228-CCE-LPA,b'5b5c461201c4b5d552ec4f8f',11/28/2016,-1,52
11001,ncmd,1-16-cv-00160-WO-LPA,b'c4be5d332ba195269e89b2c3',03/08/2016,1,31
11002,ncmd,1-16-cv-00589-LCB-LPA,b'5367b2201342953bb042be22',06/14/2016,1,74
11003,ncmd,1-16-cv-01369-CCE-LPA,b'5b5c461201c4b5d552ec4f8f',12/15/2016,-999,52
11004,ncmd,1-16-cv-01161-LCB-JLW,b'5367b2201342953bb042be22',09/27/2016,1,74
