,jurisdiction,case_id,hash_name,entry_date,resolution,total_decisions
17036,ared,3-16-cv-00226-PSH,b'f60fc51637788f30bf231cfa',09/06/2016,1,44
17037,ared,4-16-cr-00161-JM,b'b09e8410dd85b252a00ab05e',11/06/2018,1,45
17038,ared,4-16-cv-00152-BSM,b'41743e2a6865ed065170fb10',04/05/2016,-999,43
17039,ared,2-16-cv-00101-JJV,b'0e1a7a1e44433445f536fff0',07/26/2016,1,54
17040,ared,2-16-cv-00109-BD,b'cf75d119883dccb3386aa5d9',08/18/2016,1,47
17041,ared,2-16-cv-00093-BSM,b'41743e2a6865ed065170fb10',07/12/2016,1,43
17042,ared,4-16-cv-00308-BRW,b'20c943dd1aac3910a79ac5cd',06/07/2016,-999,29
17043,ared,5-16-cv-00304-JJV,b'0e1a7a1e44433445f536fff0',09/28/2016,1,54
17044,ared,5-16-cv-00163-KGB,b'5e6fc352376bd51546efc667',05/27/2016,1,26
17045,ared,1-16-cv-00095-JJV,b'0e1a7a1e44433445f536fff0',07/21/2016,1,54
17046,ared,4-16-cv-00703-BSM,b'41743e2a6865ed065170fb10',10/05/2016,-999,43
17047,ared,4-16-cv-00206-JM,b'b09e8410dd85b252a00ab05e',04/18/2016,-1,45
17048,ared,1-16-cv-00172-BRW,b'20c943dd1aac3910a79ac5cd',01/04/2017,1,29
17049,ared,5-16-cv-00145-JTK,b'0150d65753172cf27fdb0148',05/11/2016,1,46
17050,ared,4-16-cv-00400-JTR,b'a6bc07fcc497c5e72a162912',07/08/2016,1,46
17051,ared,4-16-cv-00167-SWW,b'8123df5633223d0e3238a609',03/30/2016,1,19
17052,ared,4-16-cv-00369-JJV,b'0e1a7a1e44433445f536fff0',06/14/2016,0,54
17053,ared,5-16-cv-00228-JLH,b'43c03b31e6f7b2d5d40033a8',07/25/2016,-1,36
17054,ared,1-16-cv-00147-JM,b'b09e8410dd85b252a00ab05e',11/30/2016,-999,45
17055,ared,4-16-cv-00627-JLH,b'43c03b31e6f7b2d5d40033a8',08/31/2016,1,36
17056,ared,5-16-cv-00187-JJV,b'0e1a7a1e44433445f536fff0',06/17/2016,1,54
17057,ared,4-16-cv-00240-BD,b'cf75d119883dccb3386aa5d9',05/05/2016,1,47
17058,ared,4-16-cv-00214-BSM,b'41743e2a6865ed065170fb10',05/09/2016,1,43
17059,ared,2-16-cv-00086-BRW,b'20c943dd1aac3910a79ac5cd',06/08/2016,-1,29
17060,ared,4-16-cv-00811-BRW,b'20c943dd1aac3910a79ac5cd',11/03/2016,-999,29
17061,ared,4-16-cv-00332-JTK,b'0150d65753172cf27fdb0148',07/06/2016,1,46
17062,ared,3-16-cv-00354-JJV,b'0e1a7a1e44433445f536fff0',12/27/2016,1,54
17063,ared,4-16-cv-00033-KGB,b'5e6fc352376bd51546efc667',01/26/2016,-1,26
17064,ared,4-16-cv-00892-JM,b'b09e8410dd85b252a00ab05e',02/06/2017,1,45
17065,ared,5-16-cv-00161-BSM,b'41743e2a6865ed065170fb10',06/09/2016,-10,43
17066,ared,4-16-cv-00156-JM,b'b09e8410dd85b252a00ab05e',06/27/2016,-1,45
17067,ared,5-16-cv-00362-JLH,b'43c03b31e6f7b2d5d40033a8',12/06/2016,1,36
17068,ared,5-16-cv-00363-JLH,b'43c03b31e6f7b2d5d40033a8',12/06/2016,1,36
17069,ared,5-16-cv-00056-BSM,b'41743e2a6865ed065170fb10',05/17/2016,1,43
17070,ared,5-16-cv-00230-BSM,b'41743e2a6865ed065170fb10',08/16/2016,1,43
17071,ared,4-16-cv-00104-KGB,b'5e6fc352376bd51546efc667',08/15/2016,1,26
17072,ared,5-16-cv-00156-JJV,b'0e1a7a1e44433445f536fff0',05/26/2016,0,54
17073,ared,4-16-cv-00801-JLH,b'43c03b31e6f7b2d5d40033a8',12/14/2016,-999,36
17074,ared,2-16-cv-00057-JJV,b'0e1a7a1e44433445f536fff0',04/12/2016,1,54
17075,ared,3-16-cv-00146-DPM,b'8bdf7e58615fc3f83a5f0c1d',06/27/2016,1,20
17076,ared,2-16-cv-00164-BSM,b'41743e2a6865ed065170fb10',12/23/2016,-1,43
17077,ared,1-16-cv-00101-BSM,b'41743e2a6865ed065170fb10',08/17/2016,1,43
17078,ared,2-16-cv-00064-KGB,b'5e6fc352376bd51546efc667',08/15/2016,1,26
17079,ared,2-16-cv-00037-JLH,b'43c03b31e6f7b2d5d40033a8',08/08/2017,-1,36
17080,ared,4-16-cv-00785-JLH,b'43c03b31e6f7b2d5d40033a8',12/20/2016,-10,36
