ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,26,04/14/2017,"ORDER by Magistrate Judge Paul J Cleary resetting Settlement Conference, setting/resetting",0,90,ORDER by Magistrate Judge,Paul J Cleary,"resetting Settlement Conference, setting/resetting",26,39,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,28,05/24/2017,ORDER by Chief Judge Gregory K Frizzell ; setting/resetting deadline(s,0,70,ORDER by Chief Judge,Gregory K Frizzell,; setting/resetting deadline(s,21,39,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,28,05/24/2017,01:30 PM before Chief Judge Gregory K Frizzell); setting/resetting scheduling order,165,248,01:30 PM before Chief Judge,Gregory K Frizzell,); setting/resetting scheduling order,193,211,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,28,05/24/2017,"09:30 AM before Chief Judge Gregory K Frizzell, Jury Trial set for 2/",408,477,09:30 AM before Chief Judge,Gregory K Frizzell,", Jury Trial set for 2/",436,454,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,28,05/24/2017,09:30 AM before Chief Judge Gregory K Frizzell); granting 27 Motion to Accelerate,488,569,09:30 AM before Chief Judge,Gregory K Frizzell,); granting 27 Motion to Accelerate,516,534,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,29,08/04/2017,"ORDER by Magistrate Judge Paul J Cleary resetting Settlement Conference, setting/resetting",0,90,ORDER by Magistrate Judge,Paul J Cleary,"resetting Settlement Conference, setting/resetting",26,39,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,30,08/07/2017,"MINUTE ORDER by Magistrate Judge Paul J Cleary correcting Settlement Conference date, setting/",0,94,MINUTE ORDER by Magistrate Judge,Paul J Cleary,"correcting Settlement Conference date, setting/",33,46,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,32,09/12/2017,"case following the resignation of Magistrate Judge Wilson and appointment of Magistrate Judge Jayne,",69,169,case following the resignation of Magistrate Judge,Wilson,"and appointment of Magistrate Judge Jayne,",120,126,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,32,09/12/2017,"Judge Wilson and appointment of Magistrate Judge Jayne, reassigning case to Magistrate Judge Jodi",114,211,Judge Wilson and appointment of Magistrate Judge,Jayne,", reassigning case to Magistrate Judge Jodi",163,168,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,32,09/12/2017,"Jayne, reassigning case to Magistrate Judge Jodi F Jayne, Magistrate Judge T Lane Wilson no",163,254,"Jayne, reassigning case to Magistrate Judge",Jodi F Jayne,", Magistrate Judge T Lane Wilson no",207,219,line_entry,SPACY JNLP2
